nohup: ignoring input
[2026-06-26 15:55:55 +1000] [3615998] [INFO] Starting gunicorn 25.0.3
[2026-06-26 15:55:55 +1000] [3615998] [INFO] Listening at: http://0.0.0.0:80 (3615998)
[2026-06-26 15:55:55 +1000] [3615998] [INFO] Using worker: sync
[2026-06-26 15:55:55 +1000] [3615999] [INFO] Booting worker with pid: 3615999
[2026-06-26 15:55:55 +1000] [3616000] [INFO] Booting worker with pid: 3616000
[2026-06-26 15:55:55 +1000] [3616001] [INFO] Booting worker with pid: 3616001
[2026-06-26 15:55:55 +1000] [3616011] [INFO] Booting worker with pid: 3616011
DB columns: {'windspdmax', 'batt_v', 'temperature', 'logger_temp', 'wind_speed', 'solar_flux_density_wm2', 'timestamp', 'tiltns', 'cs320_tilt', 'par_den', 'dewpoint_temp', 'strikes', 'wind_direction', 'timestamp_utc', 'preciptip', 'cs320_vout', 'precipdrop', 'par_tot', 'cs320_temp', 'airtempmin', 'atmospheric_pressure', 'par_den_2', 'cs320_total_energy_mj', 'vp', 'tiltwe', 'precipec', 'airtempmax', 'precipitation', 'rhtemp', 'par_tot_2', 'cs320_irradiance', 'cs320_energy_mj', 'dist', 'tiltxy', 'humidity'}
Received POST: BattV=12.089010,PTemp_C=20.769440,SlrFD_W=124.400000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=1.360000,WindDir=176.700000,MaxWS_ms=1.520000,AirT_C=13.800000,VP_mbar=12.000000,BP_mbar=1022.600000,RH=76.000000,RHT_C=15.000000,TiltNS_deg=-1.000000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=13.800000,TMax=13.900000,SlrTF_MJ=0.001244,SlrW=142.738000,Raw_mV=5.758000,CS320_Temp=16.090000,CS320_Angle=0.930000,SlrMJ=0.001427,PAR_Den=0.073886,PAR_Tot=0.000739,PAR_Den_2=0.043497,PAR_Tot_2=0.000435
utc 2026-06-26 05:58:53
Received POST: BattV=12.090550,PTemp_C=20.770870,SlrFD_W=123.700000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=0.830000,WindDir=159.100000,MaxWS_ms=1.010000,AirT_C=14.000000,VP_mbar=11.900000,BP_mbar=1022.600000,RH=75.000000,RHT_C=14.900000,TiltNS_deg=-1.000000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=14.000000,TMax=14.200000,SlrTF_MJ=0.001237,SlrW=142.093000,Raw_mV=5.732000,CS320_Temp=16.076000,CS320_Angle=0.811000,SlrMJ=0.001421,PAR_Den=0.070885,PAR_Tot=0.000709,PAR_Den_2=0.029781,PAR_Tot_2=0.000298
utc 2026-06-26 05:59:03
Received POST: BattV=12.093880,PTemp_C=20.774960,SlrFD_W=123.400000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=1.060000,WindDir=132.800000,MaxWS_ms=1.300000,AirT_C=14.100000,VP_mbar=11.900000,BP_mbar=1022.600000,RH=74.000000,RHT_C=15.000000,TiltNS_deg=-1.000000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=14.100000,TMax=14.100000,SlrTF_MJ=0.001234,SlrW=141.187000,Raw_mV=5.695000,CS320_Temp=16.100000,CS320_Angle=0.948000,SlrMJ=0.001412,PAR_Den=0.067306,PAR_Tot=0.000673,PAR_Den_2=0.052118,PAR_Tot_2=0.000521
utc 2026-06-26 05:59:33
Received POST: BattV=12.090280,PTemp_C=20.776310,SlrFD_W=123.000000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=1.130000,WindDir=173.300000,MaxWS_ms=1.320000,AirT_C=14.100000,VP_mbar=11.900000,BP_mbar=1022.600000,RH=74.000000,RHT_C=15.000000,TiltNS_deg=-1.000000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.000000,TMin=14.100000,TMax=14.200000,SlrTF_MJ=0.001230,SlrW=141.021000,Raw_mV=5.689000,CS320_Temp=16.082000,CS320_Angle=0.910000,SlrMJ=0.001410,PAR_Den=0.084941,PAR_Tot=0.000849,PAR_Den_2=0.056053,PAR_Tot_2=0.000561
utc 2026-06-26 05:59:43
Received POST: BattV=12.087300,PTemp_C=20.777650,SlrFD_W=122.900000,Rain_mm=0.000000,Strikes=0.000000,Dist_km=0.000000,WS_ms=1.000000,WindDir=165.200000,MaxWS_ms=1.080000,AirT_C=14.000000,VP_mbar=11.900000,BP_mbar=1022.600000,RH=74.000000,RHT_C=15.000000,TiltNS_deg=-1.000000,TiltWE_deg=-1.600000,PrecDropCt=0.000000,PrecTipCt=0.000000,PrecEC=0.000000,SingOrientation=1.100000,TMin=14.000000,TMax=14.100000,SlrTF_MJ=0.001229,SlrW=140.393000,Raw_mV=5.663000,CS320_Temp=16.108000,CS320_Angle=0.894000,SlrMJ=0.001404,PAR_Den=0.089021,PAR_Tot=0.000890,PAR_Den_2=0.044031,PAR_Tot_2=0.000440
utc 2026-06-26 05:59:53
